"","x","y"
"4158",-123.520762941675,41.494603587625
"4613",-123.514634025166,41.4861551881363
"5005",-123.516773283428,41.4855330913253
"1027",-123.504914746676,41.4963766538114
"1584",-123.36217662526,41.5307195042649
"5538",-123.499290194866,41.487844154831
"6088",-123.401507601292,41.5135199035799
"5368",-123.524002481246,41.4818253517154
"1507",-123.365981483407,41.527347703561
"1148",-123.498502072731,41.5131674062098
"5254",-123.519096530156,41.4839553366416
"4071",-123.507380612486,41.4838184580191
"439",-123.527292435405,41.5079228128562
"1247",-123.490282541137,41.5054023325746
"3039",-123.515367297297,41.4804321836275
"5315",-123.515009903713,41.4806769852525
"1106",-123.495111315611,41.5085342372941
"1234",-123.490386620172,41.506491784746
"3097",-123.528857690162,41.4882254282867
"5072",-123.530770253366,41.4921258394715
"2022",-123.372247497935,41.5331193395819
"1867",-123.412931746284,41.5178480427272
"1944",-123.35390158431,41.5321864487806
"1476",-123.355622646706,41.535630965935
"4024",-123.505236728958,41.4807653659728
"1001",-123.507697855804,41.4814931393019
"4961",-123.522541576671,41.4878399545788
"5369",-123.522556450347,41.488200184066
"2287",-123.413718115519,41.5114769831969
"4323",-123.503719079542,41.4858612241592
"4810",-123.499364656851,41.4928609683627
"825",-123.508120847742,41.477374870302
"3483",-123.517155915744,41.4944847513906
"4439",-123.517730734994,41.4944551431134
"3162",-123.515073347827,41.4781005729625
"489",-123.498122991889,41.4668258333425
"809",-123.498922887349,41.4868098940409
"5853",-123.37417805747,41.5248983390932
"3506",-123.521085843033,41.50200621679
"2488",-123.434838132863,41.4907540624894
"6238",-123.360434382317,41.5191774999912
"5921",-123.363379569009,41.5100527341184
"1296",-123.520513104254,41.4933256652474
"3089",-123.515133797539,41.4766591111527
"1077",-123.491225985034,41.5113251762351
"4602",-123.50335042533,41.480017010917
"5481",-123.525970611895,41.4778440883383
"1504",-123.363988350927,41.5310200353048
"2605",-123.432497368304,41.490042293073
"926",-123.501692228149,41.4824382494329
"6185",-123.378190417359,41.5223361222018
"1089",-123.49603850687,41.5091247303754
"6099",-123.414880156178,41.5151748402972
"4131",-123.520486827821,41.5065036225465
"4255",-123.507798808965,41.4821502366924
"3208",-123.522387610852,41.4820939127889
"4243",-123.510426144872,41.4796255319212
"3352",-123.490290086966,41.4603200625906
"4752",-123.49696790641,41.4927632601098
"2448",-123.397775851888,41.5068673865001
"1130",-123.499159632856,41.5051659850683
"6218",-123.360007817782,41.5243851121868
"4045",-123.502499822506,41.4815429876303
"1041",-123.497156948753,41.5080840502313
"1435",-123.36350245929,41.5277338763471
"4451",-123.522398576389,41.4953888228841
"217",-123.522989196348,41.4973227326886
"4201",-123.517317129761,41.501194548436
"4270",-123.513214750759,41.4854229201994
"614",-123.495898382068,41.4561886127281
"6117",-123.420979613703,41.5132521135485
"1327",-123.505248488522,41.4899889263829
"694",-123.495044623104,41.4651547265242
"595",-123.502063172488,41.4637641801062
"5314",-123.515072785931,41.4810550161214
"5106",-123.531896509841,41.490679449515
"5347",-123.52644302805,41.4784994703668
"2688",-123.407226761574,41.485288533814
"2556",-123.429425677349,41.5001781541435
"5804",-123.354868558375,41.5446136433323
"5384",-123.528821021595,41.4881355226308
"2963",-123.495505158981,41.5083253709666
