"","x"
"1","OBJECTID"
"2","YEAR_"
"3","MONTH_"
"4","DAY_"
"5","HOUR_"
"6","MINUTE_"
"7","SECOND_"
"8","UTM_EAST"
"9","UTM_NORTH"
"10","UTM_ZONE"
"11","ALTITUDE"
"12","FIX"
"13","SAT_PRN1"
"14","SAT_PRN2"
"15","SAT_PRN3"
"16","SAT_PRN4"
"17","SAT_PRN5"
"18","SAT_PRN6"
"19","SAT_PRN7"
"20","SAT_PRN8"
"21","SAT_PRN9"
"22","SAT_PRN10"
"23","SAT_PRN11"
"24","SAT_PRN12"
"25","PDOP"
"26","HDOP"
"27","TEMP"
"28","ACTIVITY"
"29","ONTIME"
"30","OBSDATE"
"31","OBSTIME"
"32","OBSDATETIM"
"33","ANIMAL_ID"
"34","MFG"
"35","PDOP_"
"36","HDOP_"
"37","TEMP_"
"38","LATITUDE"
"39","LONGITUDE"
"40","SERIAL"
"41","FREQUENCY"
"42","CNR"
"43","SAT_NUM"
"44","SPECIES"
"45","SEX"
