File,Direct Link
open_areas_south_2005_utm.tif,https://drive.google.com/uc?id=1TXNonzCdgGf3CPOBymhI6fuM5XW8P0II&export=download
open_areas_south_2005_v2.tif,https://drive.google.com/uc?id=111zK2UOH_4pjfgNs0Fnr7NI7kCxXVdrc&export=download
open_areas_south_2005_all.tif,https://drive.google.com/uc?id=1-lbDuRfPmN7PkKhVxoaK1oBaUa9sNyKK&export=download
open_areas_south_2005.tif,https://drive.google.com/uc?id=1F0XEg7DeXDyFAWsL3H3BJyEzZwq6qdqz&export=download
open_areas_south.tif,https://drive.google.com/uc?id=1Sts6x0xHDag3YlN-XpmqzTFL21_xDWQZ&export=download
open_areas.tif,https://drive.google.com/uc?id=17jzR-1W3LtAoa1ws4A-WNwN0mdUtO2Dz&export=download
Draft Proposal to Core,https://docs.google.com/document/d/1td5l59j-kTYLak_3FN6EgUtuwozFZQeLKkMGS3rIxUU/export?format=pdf
buffered_edge_north_2010_60_m.tif,https://drive.google.com/uc?id=1i32fA3FgBhY2j4bY0s6epC8UtkdU9nsY&export=download
buffered_edge_south_2005_60_m_buffer.tif,https://drive.google.com/uc?id=156a2ftZIKkpgAu7u6GKb_sTGnaCZbyL9&export=download
buffered_edge_south_2010_60_m_buffer.tif,https://drive.google.com/uc?id=1laKFoRcvh9LvC8aGPY9Oh01N65BBOwNY&export=download
buffered_edge_south_2010.tif,https://drive.google.com/uc?id=1RSeml02e4XLIXGaLvUWpTiDdEN3S3Nib&export=download
buffered_edge_2.tif,https://drive.google.com/uc?id=1yIQO0waXc6ZpCvJgeetXUsWiFz8cxWEc&export=download
buffered_edge.tif,https://drive.google.com/uc?id=164aHVU-_XaYIOjRpy6xZ191aAFcjka1R&export=download
buffer_test.tif,https://drive.google.com/uc?id=1fJUrU0uwRGY8XtcsLFz-otyUjZYYoiht&export=download
elk_herds,https://drive.google.com/uc?id=166hNumtnv1pASyMK_Ughv4S1l_5bCwFKH60QPWqJ&export=download
elk_herds,https://drive.google.com/uc?id=1bWUizKQ3r_RNnHYH-y9TUVv8EZrHY1VGt07Tvfrv&export=download
Untitled spreadsheet,https://docs.google.com/document/d/1JECdEpTaSpAyLK8tmfOsYB5im8KFKjA-4U7LM-fil3E/export?format=pdf
Powell_ESA2018_v4.docx,https://docs.google.com/document/d/1rsQP9fmXIaOF6zlWtSnbf18p3W9WWlGA-EFHt7XEIAg/export?format=pdf
Powell_ESA2018_v4.docx,https://drive.google.com/uc?id=0B6h76f2Zop53N3dzTmVIS2ZrM1o1VHhWc3oxUFZZREQ2ZE5z&export=download
sensi_LA_case_1.csv,https://docs.google.com/document/d/1CrbeegLMEUaT_pQxymNIovBLU3TRaN_9SYbKG6NwgAc/export?format=pdf
CE 268 HW 3_combined.docx,https://drive.google.com/uc?id=1pOnhX9D-ov-rG4_0x8OQYrvQXSSAqKWJ&export=download
.Rhistory,https://drive.google.com/uc?id=12v8Lotzjr7H60NVm2Qr6lZ62P1E2oCrO&export=download
elk_collar_data.R,https://drive.google.com/uc?id=1JGJTeWcy1Vlibo7XO4lZEVTbl8hT62Nr&export=download
elk_data.cpg,https://drive.google.com/uc?id=1ZJtQTmFLTzI5yhFirmvdmsgEQNkFQw2R&export=download
Trap Locations,Not applicable
ArcGIS Online story maps Step by Step.docx,https://drive.google.com/uc?id=0B6h76f2Zop53VjBfRl92Y29ZNV9rSFhXLVpWcmRpSVd4MkFV&export=download
courses,https://docs.google.com/document/d/1WEKaA68pQE3CgAcukDW29dET_wffbKWAu2H2RRJ6KZ4/export?format=pdf
greenhouse_data_v1.xlsx,https://docs.google.com/document/d/1Uq_Adw1WmynIv2TMi1fnpUHPj34i8YJGm1DYMfgpuZY/export?format=pdf
greenhouse_data_v1.xlsx,https://drive.google.com/uc?id=0B6h76f2Zop53aXVtRURsZEFKcDVzblhyMFd4cnR0b2d3dnBr&export=download
Ethics midterm study,https://docs.google.com/document/d/1gdDNYp467xecRm9v8W1MNN64ltExRunh3rj-obBfCug/export?format=pdf
pics_test,https://drive.google.com/uc?id=1FjxDJWp1l0Xy1sTlKkiYwqKrChJo_AornFvzfNwP&export=download
points_for_fusion_tables_8_20_2017,https://drive.google.com/uc?id=1G6-jqhiqcqsU3PWSNuVOv3eJYYGDB3udB9iky3L3&export=download
Masters Course of Study Form Revised SP15_AHB_Spring_2017.xlsx,https://docs.google.com/document/d/1xC8ZcjLo7bDBiAkloeN214tSClqWOul5LnJ1bT7xUj4/export?format=pdf
Masters Course of Study Form Revised SP15_AHB_Spring_2017.xlsx,https://drive.google.com/uc?id=0B6h76f2Zop53eDNXNFVfZlB2ZzMxRU1oblE3bjlZcU9fMlRN&export=download
elk_points_trip1_and_2,https://drive.google.com/uc?id=19PYncQmTbyFNJdews7u0k21sknqlrtM1QvuIK5eK&export=download
elk_occurances_spocc,https://drive.google.com/uc?id=1ihr8kwAgdcYoXq3nIGiBTSI7pgBsDkhzJvvfPgfa&export=download
GFI Fellowship Awardees 2017-18,https://docs.google.com/document/d/1Ukvofr1f2oLYqmbMvQWnx2D3Ui1ZcS1RVf4OHHCNG9w/export?format=pdf
