,pic_id,d_link.x,old_id.x,d_link.y,old_id.y,s_link
1,006_2,https://drive.google.com/uc?id=1LChhehQadgkYQ2CMvGiosSE5BeaOjhVK&export=download,053 (4).JPG,https://drive.google.com/uc?id=1o8300MwcLpRCWC3TICaakT8fh2jSdwOK&export=download,006_2.JPG,https://drive.google.com/file/d/1LChhehQadgkYQ2CMvGiosSE5BeaOjhVK/view?usp=drivesdk
2,007_1,https://drive.google.com/uc?id=12cTxYabPs-pkfAMV9H8fReeUBZlnhz3A&export=download,IMG_2844.JPG,https://drive.google.com/uc?id=1DMcZ0cDjYWJsfC-udbT3kMvpHmf2SD-P&export=download,007_1.JPG,https://drive.google.com/file/d/12cTxYabPs-pkfAMV9H8fReeUBZlnhz3A/view?usp=drivesdk
3,008_2,https://drive.google.com/uc?id=1azFWwk6a84EMeexeYl_8QHNOX-BAO6GK&export=download,IMG_2738_p7.jpg,https://drive.google.com/uc?id=1ghduZI7VyxjvzipCQFzLGf7M4JNB89rd&export=download,008_2.JPG,https://drive.google.com/file/d/1azFWwk6a84EMeexeYl_8QHNOX-BAO6GK/view?usp=drivesdk
4,009_3,https://drive.google.com/uc?id=1EV41xgT7iMJqAr2Ds8GR-aZuXBJmTBVT&export=download,elk_track_mcCash_july_2017.jpg,https://drive.google.com/uc?id=1hxOBBADC1z3fqeLfdcX3NcN3Z_d4mYic&export=download,009_3.JPG,https://drive.google.com/file/d/1QWhSsNuV8xp0mVkOhGs77UVm3H18Kl0d/view?usp=drivesdk
5,010_4,https://drive.google.com/uc?id=1zt2994PsGe-9AtpwSms-dDfjAG_ivGiR&export=download,IMG_2848.JPG,https://drive.google.com/uc?id=1t99_aNzj4GkfnCfI0Bk2kBpDQ5TA7bU8&export=download,010_4.JPG,https://drive.google.com/file/d/1zt2994PsGe-9AtpwSms-dDfjAG_ivGiR/view?usp=drivesdk
6,028_4,https://drive.google.com/uc?id=1N8ds95QKD36nP1VCtmjNzJpSM4j-gfxW&export=download,031_jaw_4.JPG,https://drive.google.com/uc?id=1RpmTu2JG4eVBHCSFLsdyaQJTlHUaIufP&export=download,028_4.JPG,https://drive.google.com/file/d/17vJ1uv_b44Da4bL8_NyE-zSXnBC5fRs7/view?usp=drivesdk
7,031_jaw_4,https://drive.google.com/uc?id=1RpmTu2JG4eVBHCSFLsdyaQJTlHUaIufP&export=download,034_2.JPG,https://drive.google.com/uc?id=1XseZ8QNgVk0NfYatE_ZrnLsT-GDCBMmQ&export=download,031_jaw_4.JPG,https://drive.google.com/file/d/1RpmTu2JG4eVBHCSFLsdyaQJTlHUaIufP/view?usp=drivesdk
8,034_2,https://drive.google.com/uc?id=1XseZ8QNgVk0NfYatE_ZrnLsT-GDCBMmQ&export=download,035_16.JPG,https://drive.google.com/uc?id=1gA5QHXzYcBPkjHC9o4gTY6toyN0iitzM&export=download,034_2.JPG,https://drive.google.com/file/d/1XseZ8QNgVk0NfYatE_ZrnLsT-GDCBMmQ/view?usp=drivesdk
9,035_1,https://drive.google.com/uc?id=1W2lTMRio0SYLP5IyVIMkDyDgjLVgPlSK&export=download,036_1.JPG,https://drive.google.com/uc?id=1OfbCMXJqoZ7bcFEan1f3HUuLIwYiCZE4&export=download,035_1.JPG,https://drive.google.com/file/d/1W2lTMRio0SYLP5IyVIMkDyDgjLVgPlSK/view?usp=drivesdk
10,036_1,https://drive.google.com/uc?id=1OfbCMXJqoZ7bcFEan1f3HUuLIwYiCZE4&export=download,038_6.JPG,https://drive.google.com/uc?id=1mTnmBRqdfrCqibN75G9ZUd47eOD0Sxp3&export=download,036_1.JPG,https://drive.google.com/file/d/1OfbCMXJqoZ7bcFEan1f3HUuLIwYiCZE4/view?usp=drivesdk
11,038_McCash_Ridge,#N/A,053_bed_in_grass.jpg,https://drive.google.com/uc?id=1zebm4N1lWH-8SNuNvhaY67UIMpxzf-Cf&export=download,038_McCash_Ridge.jpg,https://drive.google.com/file/d/1lBl1wPr6DfRmxsSY3es61qR7EaloLvAr/view?usp=drivesdk
12,040_1,https://drive.google.com/uc?id=1IjTd25W5hOmYeV9K278dFCwomDfUVM8C&export=download,042_3.JPG,https://drive.google.com/uc?id=1lmT98BknjxE1-QGtyRnQkJfLqJv2BFUk&export=download,040_1.JPG,https://drive.google.com/file/d/1IjTd25W5hOmYeV9K278dFCwomDfUVM8C/view?usp=drivesdk
13,041_1,https://drive.google.com/uc?id=1ajOwa6GRS8QzAVf1M3_XST8ybGyjV6y6&export=download,008_2.JPG,https://drive.google.com/uc?id=1azFWwk6a84EMeexeYl_8QHNOX-BAO6GK&export=download,041_1.JPG,https://drive.google.com/file/d/1ajOwa6GRS8QzAVf1M3_XST8ybGyjV6y6/view?usp=drivesdk
14,042_1,https://drive.google.com/uc?id=1jqilhHQ3NrXtfOfyCBRWQeS2rTzMdNzs&export=download,008_1.JPG,https://drive.google.com/uc?id=1QQXNK3TnEgba5tsttWmF0n1_QijnUR16&export=download,042_1.JPG,https://drive.google.com/file/d/1jqilhHQ3NrXtfOfyCBRWQeS2rTzMdNzs/view?usp=drivesdk
15,043_2,https://drive.google.com/uc?id=1pgxX4oHCzecxOnxoz8OiRoRbdo7hMhaS&export=download,006_2.JPG,https://drive.google.com/uc?id=1LChhehQadgkYQ2CMvGiosSE5BeaOjhVK&export=download,043_2.JPG,https://drive.google.com/file/d/1pgxX4oHCzecxOnxoz8OiRoRbdo7hMhaS/view?usp=drivesdk
16,045_2,https://drive.google.com/uc?id=1Wgizxmm7tS7gZkybhCdig9CGxkUDhOHT&export=download,072_4.JPG,https://drive.google.com/uc?id=1YDvMjqnAGkZuCGMrsB3qWgrbYQthIfFZ&export=download,045_2.JPG,https://drive.google.com/file/d/1Wgizxmm7tS7gZkybhCdig9CGxkUDhOHT/view?usp=drivesdk
17,046_fresh_scat,,053_bull_with_antlers_removed.jpg,https://drive.google.com/uc?id=1_949PfQVUeo32SPP6q_fvjmtCKlHc_-f&export=download,046_fresh_scat.jpg,https://drive.google.com/file/d/1WWKfz-AR85k0uPdfjClqvDQACzFMeZnJ/view?usp=drivesdk
18,048_scat_with_beetles,,053_cow.JPG,https://drive.google.com/uc?id=1gXx4fVS9aUyyKoenqJjuvjCgXiPC_Vf6&export=download,048_scat_with_beetles.jpg,https://drive.google.com/file/d/1EpuU8GcHuCTWd0PlJ40tfwI7E5Hgis60/view?usp=drivesdk
19,050_1,#N/A,053_grass1.jpg,https://drive.google.com/uc?id=1OhmA_RADWWmYa370APWgaSDxVwO7AreM&export=download,050_1.jpg,https://drive.google.com/file/d/11dFVTC7dVk8dyXBEYqAKe5eWS8HlljHZ/view?usp=drivesdk
20,051_1,#N/A,053_manzanita_terminals_browsed.jpg,https://drive.google.com/uc?id=1kQWtV7K-1wC7NrFwrwV48UPAME-rncvd&export=download,051_1.jpg,https://drive.google.com/file/d/1bq2Yu8g0yKqnYpK8bO--O36PzpvXoaU8/view?usp=drivesdk
21,052_bed_track_urine_stain,#N/A,053_shrub_willow.jpg,https://drive.google.com/uc?id=1igsxVB39vNw3iuhtZJg_NGdRm_TvXi2h&export=download,052_bed_track_urine_stain.jpg,https://drive.google.com/file/d/10kE0spwoksgSuRIbeyD9FXlXGtGvyHly/view?usp=drivesdk
22,054_herd_foraging,#N/A,mature_cohort_2pct_light_5_yrb_seedling_dynamics.png,https://drive.google.com/uc?id=1gNHMG-8mum3aTX5xkw0_mKnImnuWaEuL&export=download,054_herd_foraging.JPG,https://drive.google.com/file/d/1ycrrS7-rDLEdfjHPrPzBa2sjAI1xator/view?usp=drivesdk
23,055_herd_walking_away,#N/A,mature_cohort_50pct_light_5_yrallocation.png,https://drive.google.com/uc?id=1WTEmnti01fn-7p7PGub6qwiFUNJcB5ui&export=download,055_herd_walking_away.JPG,https://drive.google.com/file/d/1lA6pJb2ts3wd7cWTnY0VPApN-HMZNmMs/view?usp=drivesdk
24,056_elk_bedded_down,#N/A,mature_cohort_50pct_light_5_yrother.png,https://drive.google.com/uc?id=1LEha_OJHUW3U1D1PDGM_1i8hTSTKNgeO&export=download,056_elk_bedded_down.JPG,https://drive.google.com/file/d/13JeZ8yNCnQrfKiyg823MnaDVS4cd2KSB/view?usp=drivesdk
25,058_14,#N/A,061 (13).JPG,https://drive.google.com/uc?id=1qKyulzE3gpV8z-AZ48EmFXKSz0q5q0vS&export=download,058_14.JPG,https://drive.google.com/file/d/1fAWTBzvV6OJ_IwUOTqiDtM9CEBiYTdbH/view?usp=drivesdk
26,060_1,#N/A,063.JPG,https://drive.google.com/uc?id=1cRXhfs5IE-MQHynP96mtXy0jwSf8szHq&export=download,060_1.JPG,https://drive.google.com/file/d/1YDH9KOSK5oe3qhSaTiO4aYx83KKVKK_U/view?usp=drivesdk
27,061_5,#N/A,068 (4).JPG,https://drive.google.com/uc?id=1VA9morNJh-kdr7JdaBdXoH7HDMgjRH8L&export=download,061_5.JPG,https://drive.google.com/file/d/1Ri6zfOb9HSk0RsMeUwzkTy4IFHeCBpFp/view?usp=drivesdk
28,063_1,#N/A,068 (6).JPG,https://drive.google.com/uc?id=1NwEL_1RyR2l4JgfN6oxr57vRP6OJbQfC&export=download,063_1.JPG,https://drive.google.com/file/d/1eW2OWFSCFs-7CyI_zjVFAulIIXtCHP07/view?usp=drivesdk
29,065_1,#N/A,068_1.JPG,https://drive.google.com/uc?id=1_EpPJ-tJ4GdPUkwaxV5O8tprfUnoabre&export=download,065_1.JPG,https://drive.google.com/file/d/1hlu6EEgS54GXXrCJRokKZjYrpy1vlCmb/view?usp=drivesdk
30,066_3,#N/A,071 (5).JPG,https://drive.google.com/uc?id=1IPsFAwsh1JLBjWnUveR2NUtOn9X-QXlm&export=download,066_3.JPG,https://drive.google.com/file/d/1M8drO2kvHGNillscIDIf5zYJtTnKng2n/view?usp=drivesdk
31,068_3,#N/A,071_willow_like (6).JPG,https://drive.google.com/uc?id=1-zCHvzmPIZh4suV6KiqUgqNTq8xlFkU_&export=download,068_3.JPG,https://drive.google.com/file/d/15Sl1sbMOLsyALQzx5Op2kmifvXgfzrfd/view?usp=drivesdk
32,069_3,#N/A,053 (1).JPG,https://drive.google.com/uc?id=1OM-c8bBj0Ho8oF8QAVAKURjS64tv5Mw5&export=download,069_3.JPG,https://drive.google.com/file/d/1AjS9HYOVKlQS1xDEckqP4Wkgzh65x_F5/view?usp=drivesdk
33,072_1,#N/A,mature_cohort_35pct_light_5_yrallocation.png,https://drive.google.com/uc?id=1Euhm9Zdpe2LCP4eN9kh1LLS_rXY_Eigf&export=download,072_1.JPG,https://drive.google.com/file/d/1ZdzYcqAyjr2KfEerUzGWHquiCGIR9RT3/view?usp=drivesdk
