"","x","y"
"30080",-123.348305995896,41.6509466395368
"18359",-123.511786081858,41.4865372000075
"13251",-123.866261965592,41.1463040398179
"9164",-123.156775123802,41.0553202344714
"15708",-123.379157378021,41.5114069579608
"68",-123.072824831374,41.104462043029
"15299",-123.910508751112,41.1342795838221
"26481",-123.397452723775,41.5265226532219
"5735",-123.852131850836,41.1290422318396
"4486",-124.085138612666,41.023618244735
"16138",-123.438478015956,41.6819739463389
"636",-123.153643925651,41.0751693670211
"19187",-123.369018297183,41.538642260433
"20707",-123.521283264068,41.4713350270048
"4181",-123.086454887595,41.0544666021566
"20456",-123.513936729021,41.4752232744205
"12604",-123.860064438259,41.1380272023957
"10387",-123.092571376635,41.1221847396747
"301",-123.06720938821,41.098375993923
"23993",-123.390139564675,41.5063080613299
"11139",-123.080928411235,41.1184911983877
"9977",-123.084621462012,41.1095345344275
"18738",-123.491806974414,41.5057561201643
"14701",-123.865381140299,41.1309702385627
"17930",-123.498134480087,41.4714556181345
"27275",-123.542294476473,41.4762730512035
"12466",-123.079578050391,41.1346255376914
"6980",-123.886760312965,41.149976398893
"24432",-123.517098524249,41.4827483326489
"3374",-123.143056782245,41.0730660887866
"2938",-123.086285756676,41.0889498324572
"20586",-123.527149046902,41.4872874921567
"23544",-123.373806660987,41.499931003368
"23835",-123.37151406412,41.5222588020445
"24640",-123.518489361841,41.4964423646259
"27010",-123.529808499335,41.4711249348506
"18968",-123.402370960008,41.5097337746752
"4640",-124.041090019861,40.9893797311373
"25827",-123.363030506595,41.5355087381123
"2225",-123.138393608869,41.0801791864609
"13171",-123.897255975625,41.147976445698
"9221",-123.124789857396,41.0568276357306
"7101",-123.858984325034,41.1301263339963
"18686",-123.507713375422,41.503426143826
"22127",-123.508720034466,41.4789485246021
"19261",-123.367615402941,41.5047158878384
"23323",-123.36118046692,41.5304974525793
"7649",-123.104111421043,41.1579096944533
"17071",-123.390946240325,41.7097162583934
"11846",-123.158308858718,41.0646595792954
"26683",-123.496016707753,41.4921368464104
"29084",-123.430309243713,41.6461112634652
"21773",-123.514572596616,41.5010987713753
"16556",-123.419747190816,41.6894657595105
"13896",-124.113803934707,41.9398796330157
"15510",-123.530580052537,41.4923068654006
"24051",-123.523185438367,41.493421629519
"1957",-123.09782456391,41.1300804495825
"9100",-123.161192172773,41.0756454938107
"12847",-123.856841876909,41.1119643249576
"29261",-123.435569171979,41.6711043748125
"934",-123.186368874775,41.0629060707899
"9532",-123.093874780338,41.0587396676627
"10800",-123.160644782223,41.0512702457069
"5587",-123.886677432883,41.1438246673031
"14369",-124.11954588635,41.9212521948042
"8960",-123.067962577245,41.1243638156287
"20137",-123.427379772974,41.4933311217176
"14789",-123.878161092897,41.1307023729026
"26198",-123.388068921745,41.5267618709434
"22355",-123.504088674226,41.4933627918794
"12409",-123.057209228419,41.1014351328565
"9689",-123.136631926831,41.0745422092544
"1446",-123.053552653139,41.115336340281
"17166",-123.445199620766,41.6984131272539
"25820",-123.354518237615,41.5331573466717
"23704",-123.427303171011,41.5126613265007
"18114",-123.502056294288,41.4628724707348
"16576",-123.37683909797,41.6631424367129
"30040",-123.411794248969,41.6935387303497
"2301",-123.116193177005,41.0745916550231
"10404",-123.042142491159,41.0978744280464
"7030",-123.890397811425,41.1563439120655
"25384",-123.462426862604,41.4974380529282
"5945",-123.846737076164,41.1227134214657
"20263",-123.407226761574,41.485288533814
"18928",-123.476992902126,41.4872722334454
"3257",-123.062357464872,41.0927486665859
"25083",-123.500611293701,41.5038445945223
"18175",-123.49814632105,41.4667446651417
"2096",-123.074618094231,41.1000199132949
"6438",-123.856675932422,41.120270860187
"26575",-123.372763336119,41.5269205887307
"21684",-123.520989559761,41.5019526085466
"11192",-123.078665199236,41.1085298516174
"22444",-123.50515395928,41.4855306637571
"19958",-123.381532371357,41.5199561384626
"7179",-123.899234150386,41.1401241794743
"4807",-123.883044403145,41.1536981669379
"12266",-123.102405731072,41.057426221571
"17536",-123.478350933207,41.6407242272415
"1969",-123.090318866858,41.1127190634463
"14263",-124.140605914817,41.9268901849975
"27002",-123.537197173694,41.4797648340102
"16481",-123.381535388444,41.6936161474521
"12069",-123.07976527707,41.0924496718611
"4765",-123.914346501504,41.1661099420114
"16291",-123.448430377941,41.6738831604367
"11613",-123.071932827223,41.0946347858666
"20236",-123.417741674823,41.4942492592337
"26004",-123.372425601704,41.5328215194234
"5242",-123.858012065738,41.1002993495352
"5661",-123.906871249216,41.1616921522663
"11039",-123.095005632407,41.050649420761
"25560",-123.381135668894,41.5299646646945
"19236",-123.372358634112,41.5148700012868
"16661",-123.415123238741,41.6486981316151
"12008",-123.139312284336,41.0472893767728
"26368",-123.382508549699,41.5432549877511
"16121",-123.442878426063,41.6894059709113
"29240",-123.463125374851,41.6675198804851
"7500",-123.092694973354,41.1168969149222
"13923",-124.123618885218,41.9382528743843
"16505",-123.395114129357,41.7052795162373
"10336",-123.158022824712,41.0694703128749
"30016",-123.415817613604,41.6801036158526
"15644",-123.553965704729,41.5233351563561
"12740",-123.878595725837,41.1454179314681
"12120",-123.149698684176,41.0676978178013
"28986",-123.453863315904,41.6571805730957
"19879",-123.415906281144,41.5163420961029
"16189",-123.452885425706,41.7095789223179
"12749",-123.888883365878,41.138637148421
"12437",-123.051179446404,41.0962853451767
"14520",-123.842329384569,41.1050001184172
"3346",-123.169691526752,41.061715736602
"23971",-123.421991096068,41.5029259132605
"5473",-123.853322196024,41.1243673263832
"10917",-123.129718699497,41.0760095139149
"16571",-123.360660492906,41.67622771089
"25632",-123.376264585377,41.5395465382984
"20060",-123.407610794895,41.4987803163628
"8955",-123.063715971922,41.1308430219936
"19090",-123.364032500546,41.5260658326782
"8183",-123.118355987899,41.0791745849169
"19583",-123.348114381224,41.5416258278043
"23692",-123.420979613703,41.5132521135485
"25602",-123.366574043676,41.5431357468666
"28794",-123.453985242066,41.6847960199262
"11864",-123.150798322933,41.0592917939063
"29041",-123.438848506681,41.6427643309819
"7798",-123.084421001094,41.1018057556451
"26308",-123.356961872288,41.5262861593624
"4424",-124.067093018597,41.0212915311238
"18018",-123.528201409505,41.5077114717744
"26737",-123.488610399947,41.4949608490457
